2112/2120,,How do I assign WAH to my expression pedal?,"To assign Wah to your expression pedal,<br><br>1. Press the 'Edit' button.<br>2. Turn the main dial until the Wah parameters appear on the screen.<br>3. Be sure that Wah is turned on by turning the #1 key under the screen.<br>4. Use the number 2 knob to highlight the Pedal parameter.  (just turn the knob once)<br>5. Press the 'Assign' button.<br>6. Now rock the pedal back and forth.  (The display on the 2120 will show the values changing on the screen)<br>7. Press 'Store' a few times to save your changes."
2112/2120,,What does the negative feedback parameter of the delay effect do?," Negative feedback using short delay times will produce an out of phase repeat that flips in and out of phase with each repeat, this is good for creating different textured sounds when using delay for slapback and doubling type effects. You could also modulate the delay time within a range from 2 to 20 or 30 milliseconds to create flanging or chorus and the negative feedback is inverted and gives a different type of sound to the flanging or chorusing effect.<br>I hope this makes sence, you would have to experiment to find out what the difference in sound is, but it makes for some interesting and different sounds to play around with."
2112/2120,, How do you assign midi control to specific parameters?," To assign Midi Control Change  Messages to a Effect parameter, highlight the parameter you want, press the Assign button twice, then use the #2 knob to assign a midi cc number."
BP8,,Is the BP8's operating system the same as the RP6/RP7's?,"Yes, for the most part if you have ever used an RP6/RP7 you will feel right at home with the BP8."
BP8,,Is the BP8 really just an RP7 with a few tweaks?,Not at all...the entire circuit board was redesigned with the bass player in mind. The compressor for example was completely redesigned because the requirments of the bass player are completely different than the guitar player. Likewise the PreAmp and tube sections were redone according to the needs of the bass...not the guitar.
BP8,,How do I change the assignment for the expression pedal?,"The expression pedal on the BP8 can only control one parameter at a time. Changing the assignment is a very easy process. Follow these steps to change the parameter assigned to the expression pedal.<br><br>1. Select the preset that you want to change the assignment on (with the value up/down buttons, or footswitches). 2. Press the ""edit"" button once. 3. Watching the horizontal LED's on the RP6's matrix, select the compressor column by use of the parameter right/left buttons. 4. Use the parameter up/down buttons to select the vertical led corresponding to the ""CC pedal type"" parameter.<br><br>The red display will now show ""CC and a number between 1 and 8"" . At this point you need to decide which of the assignable parameters you want to assign. You will notice that on the matrix, there are 8 different parameters that are followed by a CC number in parenthesis. This is the number that corresponds to the expression pedal controlling that parameter.<br><br>5. Use the ""value"" up/down buttons to change the CC number in the red display to reflect the CC number in the parenthesis following the parameter you want to assign.<br><br>For instance, if you want the expression pedal to be a wah, you would select CC 2. If you want the expression pedal to control the reverb level, you would select CC 8.<br><br>6. Press the store button twice to save the change to the preset."
BP8,,How do I copy one preset to another preset location?,"The following steps will copy one preset to another location.<br><br>1. Select the preset that you want to make a copy of (using the value up/down buttons, or a footswitch). <br>2. Press the store button once. The red display will now have a flashing ""U"" in it.<br>3. Use the value up/down buttons to select the preset number that you want to copy your preset to. <br>4. Press the store button again. You will now have a copy of your preset in the new location.<br><br>"
BP8,,How do I assign my favorite presets to a particular footswitch.,"The footswitch assignments on the BP8 cannot be changed. However, you can assign your presets to the switches, but not the switches to the presets. To assign the presets to the switches, you would just use the copy feature in the previous Q & A.<br><br>For example, if you wanted to have the #1 switch call up the sound in preset #44, and your number #2 switch call up the sound in preset #82, you would copy preset 44 to the ""U01"" location, and copy preset #82 to the ""U02 location. Now when you are in the ""U-0"" bank, the number one switch will have the sound of 44 at the number 1 switch, and the sound of 82 at the number 2 switch. Although the display will not show the actual preset numbers of 44 or 82, the sounds will be the same because you have copied presets 44 and 82 to new locations."
BP8,,"How do I restore one preset only, to its original form?","You will notice that when the BP8 factory, and user presets were exact duplicates of each other when the unit was first taken out of the box. In other words, presets ""U01"" through ""U94"" are exact copies of presets ""F01"" through ""F94"". So, to restore just one of your user presets to it's original form, just select the factory equivalent (F72 if you're trying to restore U72), and copy it to the user location."
BP8,,How do I reset the entire BP8 to the factory programs?,"Note: this will erase and reset all programs to their original factory settings! To reinitialize the BP8, disconnect the power, press and hold the ""parameter up"" arrow while you reconnect the power. After about 2 seconds, release the parameter up button, and press the ""value up"" button once. This will reset the entire unit."
BP8,,Does the BP8 bass processor have midi capability?,No. 
Control7,,Is the Control 7 only for Guitar Applications?,"Certainly not...while keyboard palyers enjoy the advantage of the sustain pedal (allowing them to do something *else* with their hands), their amy be times when using your feet would be better. One could change MIDI controllable lights, or even switch effects at the mixing console."
Control7,,Can a Control 7 be used instead of a Control 1 with DigiTech Guitar Processors?,"Yes, but the response time won't be quite as quick as a Control 1 because of the Control 1's proprietary communication methods."
ControlOne,,Can the Control One be used as a stand alone MIDI Control Pedal?,"No it cannot...although once it is connected to a DigiTech Device, it act as a very flexible MIDI Control Pedal in addition to controlling the Device directly."
ControlOne,,Can I use a Control One with my Johnson Millennium?,Yes you can...it is completely compatible.
ControlOne,,Can I use a Control One to control other products via MIDI if the Control One is connected to say a 2120?,"Yes...in a sense the 2120 (or some other DigiTech product) would be controlling the other product while the 2120 was being controlled by the Control One. Program Changes, CC On/Off values, and CC Expression Pedal values could be sent via MIDI to the other product you wish to control. Each DigiTech product may differ slightly in its programming to accomplish this...refer to the users manual for details."
General Knowledge,,How long will the internal battery last? How do I know when it is time to change it? Where can I get a replacement battery?,"Most batteries will last around 5-6 years. If your processor starts to have a hard time remembering your user presets, then it is time to replace the battery.<br><br>Most Digitech products use a 3 volt lithium battery which can be obtained from most local electronics supply stores. This battery looks like a coin--or an oversized watch battery. Be sure to install the new battery with the positive (+) side touching the contact arm. Also, be sure the contact arm holds the battery firmly in place.<br><br>A handful of Digitech products (GSP21, DSP256, GFX-1, IPS33B) use a 4.5 volt battery which looks like a large AA battery. This battery is harder to find, but it can be ordered directly from Digitech by calling (801)566-8800."
General Knowledge,,I have my effects processor plugged into the main input on my guitar amplifier. How come my sound has so much noise in it? I want to use the preamp in my guitar amp.,"Your Digitech processor is designed to be a preamp <i>and</i> an effects processor. Using the preamp in your guitar amplifier creates a conflict between the two preamps. Try connecting the main outputs on your processor to the effects return on your amp. This bypasses your amp's internal preamp and should clean up your sound.<br><br>If you want to use the preamp of your amp, connect your guitar directly into your amp. Use the effects loop of the amp to connect to your effects unit (send and return). Then turn off the preamp in the Digitech unit by editing the patch and bypassing all the preamp parameters."
General Knowledge,,I can't hear a difference with the cabinet emulator turned on. How come?,"If you're playing through any kind of speaker, you won't hear a difference with the cabinet emulator turned on or off. This is because you're already playing through a speaker. The cabinet emulator is designed for use while sending the signal direct to a mixer, PA, or recording device."
General Knowledge,,What about tubes? How long will they last? How do I know if it's time to replace them? What kind of tube should I use to replace them?,"If your processor has tubes, the life of your 12AX7 tube(s) can vary greatly depending on use. Generally they'll last anywhere from 2-4 years. You'll start to notice the quality of the tube distortion isn't quite the same as it used to be. That's when it's time to change the tube(s). Any 12AX7 tube will work fine. Once you've gotten into the inside of your unit, simply pull the tube out of its socket and plug in the new one. Be sure the pins line up properly on the socket before you firmly press the tube into place."
General Knowledge,,What is a Passive Volume Pedal?,"The term ""passive"" refers to a pedal that does not require a battery and is capable of using no power to provide variable resistance.  An example of this type is Roland EV5.  This is more commonly refered to as an expression pedal or CV pedal.  This can only be used for volume if the pedal is designed for volume.  Most Volume pedals require the use of an internal battery, are not passive and cannot be used as an expression pedal.  ALL expression pedals that are ""passive"" and are CV type will provide the proper function."
General Knowledge,,What is a phrase sampler?,A Phrase Sampler is a Delay effect that allows continuous regeration of a sampled audio input.  This can be used to loop a portion of an audio signal for as long as the delay or sample time allows.  This is possible on units that contain either Phrase Sampling or continuous regeration of the delay feedback.
General Knowledge,,Is it possible to order parts online?,"Parts such as power supplies, foot switch actuators, switches , cables, pots, and accessories may be ordered from our web store at www.digitech.com."
General Knowledge,,Where can I get a schematic for my Digitech product?,"Schematics are not available for current products.  Schematics for discontinued products can be purchased by sending a check or money order for $10 to the address below.  Be sure to indicate which schematic you're requesting in your letter.<br><br>Harman Music Group<br>ATTN: PARTS<br>8760 South Sandy Parkway<br>Sandy, UT 84070"
General Knowledge,,Where can I get a replacement manual for my Digitech Product?,"Replacement manuals can be purchased by sending a check or money order for $5 to the address below.  Be sure to indicate which manual you're requesting in your letter.<br><br>Harman Music Group<br>ATTN: MANUALS<br>8760 South Sandy Parkway<br>Sandy, UT 84070"
General Knowledge,,Where can I get parts for my Digitech product?,"This part can be purchased directly from Digitech by calling (801)566-8800.  Or you can send a check or money order to the address below.  Be sure to indicate which part you're requesting in your letter.<br><br>Harman Music Group<br>ATTN: PARTS<br>8760 South Sandy Parkway<br>Sandy, UT 84070<br><br>This part can also be purchased online at our new e-commerce site.  Point your browser to the site below:<br><br>http://outlet.digitech.com"
General Knowledge,,How do I send patches or programs to and from my computer for external storage and retrieval?,"You'll need a computer with a MIDI-capable sound card and MIDI cables to connect your computer to your unit.  You'll also need some sort of MIDI sequencing software or sysex data recording program.  To back up presets, connect the MIDI out of the processor to the MIDI in of the computer.  Then start the computer program recording.  Start sending the data by using the utility menu.  To restore your presets, reverse the MIDI connection and press play or send on the computer program.  The processor will automatically receive the data."
General Knowledge,,Do I have to use a sequencing program to save my presets/programs into the computer?,"No, for bulk dumps, you should be able to find a shreware program capable of sending and receiving the sysex information and storing this info in your computer.  Try www.synthzone.com and check their MIDI software utility section or the Editor/Librarian section for links."
General Knowledge,,What is the hard reset for the GNX3000?," Power up while holding the STORE button. When the word RESET? appears on the display, let go of STORE, then press and release the MODE button. The unit will reset and ask for a pedal calibration. Put the TOE DOWN, then press and release the flashing footswitch. Then put the TOE UP on the pedal, and press/release the flashing footswitch."
General Knowledge,,What is the difference between the GNX4 and the GNX3000?<br><br>,". The GNX4 will loop, play mp3s, store presets on the optional compact flash card, and has very good sounding, versatile drums. The GNX3000 has none of these features(it does have drums but they aren't as flexible). The 3000 does have our latest amp models plus some new effects such as the univibe from our Hendrix pedal, and they all sound very impressive. "
General Knowledge,, Where can I get a power supply?," Order the  power supply from our Outlet Store at www.digitech.com, under Resources, or call 801-566-8800 to order."
General Knowledge,, Can the Vocalist Live 2 and Live 4 be used with instruments other than guitar?," The Live2/4 are made for guitar. A keyboard will not generate consistent harmonies. The Live 4 features an operating mode that requires no instrument be connected. You simply enter the key, and Major or Minor."
General Knowledge,, How can I record with a GNX product on my new MAC computer?," All of our USB audio products use the Core Audio driver which is built into all Mac systems for recording/playback.  We don't supply any drivers for Mac, our products just work.  In the case of say using GarageBand, connect the GNX4 via USB and do the following:<br><br>1. Launch GarageBand.<br>2. Select the GarageBand>Preferences menu.<br>3. Click the Audio/MIDI icon.<br>4. Select DigiTech USB 1-2 In/Out for both the Audio Output and Audio Input options and confirm changing each driver as they are selected. Close the Preferences window.<br>5. Select the Track>New Track menu, click the Real Instrument Track button and click Create to put a new track in the Song project.<br><br>You should now be able to record on this new track.  The process is somewhat similar on other recording apps but not identical in setting up."
General Knowledge,,I can’t hear any sound through my PC speakers via USB,"The DigiTech Processor is an audio interface; <br><br>All audio input and output will pass through the DigiTech Processor. In order to hear the sound within recording software or while using X-Edit you must have studio monitors, headphones, or an amplifier connected to the DigiTech Processors outputs.  <br><br>See Computer Recording via USB in your owner’s manual or software installation guide for proper setup. <br>"
MEQ,,What is the Bulk Dump Procedure?,"With the unit on, press the MIDI button once.  Press the Store button twice.<br><br>Make sure the unit is connected with MIDI cables in and out to the proper storage device first.  Then turn the unit on and press the correct sequence of buttons.  The Bulk Dump should proceed directly."
RP10,,How do I assign a CC in the RP10 for a particular function?,"Go to the parameter you want to control then highlight that feature i.e. (Distortion on/bypass).<br>Press MIDI and then press the right parameter button twice.  <br>Go into CC Assignments.  <br>Press Assign then press the top parameter button to link to CC Pedal or Toggle CC#.  <br>Press MIDI to come out then press Store twice.  <br>To see the parameter change, go into MIDI then go right twice to CCs Display and turn on.<br>"
RP10,, What is the hard reset for a RP10?, Unit off.<br> Press and hold the NAME button.<br> Power up.<br> Let go of NAME button.<br> Press and release the PROGRAM UP button.
RP12,,How do I assign a CC in the RP12 for a particular function like distortion or reverb etc.?,"Go to the parameter you want to control then highlight that feature i.e. (Distortion on/bypass).<br>Press MIDI and then press the right parameter button twice.  <br>Go into CC Assignments.  <br>Press Assign then press the top parameter button to link to CC Pedal or Toggle CC#.  <br>Press MIDI to come out then press Store twice.  <br>To see the parameter change, go into MIDI then go right twice to CCs Display and turn on.<br>"
RP12,, What is the hard reset for a RP12?, Unit off.<br> Press and hold the NAME button.<br> Power up.<br> Let go of NAME button.<br> Press and release the PROGRAM UP button.
RP14,,"My RP14 seems warm after it's been on for a while, is this normal?","Yes, remember there is a 12AX7 tube in there which dissipates heat; it will get warm.<br><br>"
RP14,,"When I assign the expression pedal to a parameter, nothing happens, why?","The expression pedal will only be active if it is assigned to a parameter that exists in the selected effect. For example, the chorus effect does not have a feedback parameter, so you will not hear any change if the expression pedal is linked to ""feedback""."
RP14,,"When I use the jam-along jack, I only hear signal out of one side, why?","The jam-along jack is a stereo jack, so make sure that you are using a stereo tip-ring-sleeve (TRS) plug from your CD player.<br><br>"
RP14,,How do I balance the volume levels between presets?,"In ""edit""mode, parameter over to the ""Spkr Sim"" column, then parameter down to the volume ""level"" parameter. Use the value up/down buttons to select the desired volume level, then push ""store"" twice to save it."
RP20,, What is the hard reset for the RP20?," Power up holding the #1 access button(not the #1 footswitch), then let go of #1 and press/release the Program button."
RP21,,Is there an easy way to keep the same volume when changing between programs?,"Yes. The volume pedal update feature automatically assigns volume control in all programs to the volume pedal. This allows you to maintain the same volume when changing between patches. To turn this feature on, press the UTILITY button. Use the PAGE buttons until you arrive at the ""Vol Pedal Update"" page. Turn the dial to turn it on. You do not need to store any changes since this is a utility setting."
RP21,,What is the hard reset for the RP21?," Power up holding the #1 access button(not the #1 footswitch), then let go of #1 and press/release the Program button."
RP3,,How does the RP3 compare to the RP6 and RP7?,"The RP3 is actually very similar to the RP7 except for the Tube Distortion and being physically smaller (which means there are fewer footswitches). From the sonic standpoint, you shouldn't be able to hear any differences between the RP6 and RP3."
RP3,,Can I trade programmed patches with my friends that have an RP6?,"Yes, they have the same programming architectures. Simply jot down the settings and transfer them to/from the RP3/RP6. You can even exchange settings with an RP7 except for the Tube Distortion parameters."
RP3,,What types of effects does the RP3 have?,"The effect types of the RP3 include:  Compressor, Wah, 2 distortion types, EQ, Gate/Swell, Mod/Pitch (Chorus, Flange, Phaser, Tremolo, Panning, Pitch Shifting, Whammy, and Harmony), Delay, Reverb, and Cabinet Emulator."
RP5,,I can't get the optional expression pedal to work. I'm using the recommended DOD FX17. Maybe I'm connecting it wrong. What's wrong?,"Start by connecting the output of the FX17 to the pedal input on the RP5. Do not connect anything to the input on the FX17. Be sure to use the optional AC power supply for the FX17. It will not send sufficient voltage when used with a battery alone. Finally, edit your presets and assign the CC Pedal type to one of the CC numbers (1-8) printed on the RP5's grid."
RP5,,I don't understand the program matrix.  Can you explain it?,"The RP series can be confusing at first.  The first thing to grasp is the concept of what we call the program matrix.  To isolate a particular effect parameter or setting, you need to line up the top row and side column to display the current value.  For example, to isolate Chorus, start on the program you want to modify.  Press the Edit button.  Now press the parameter arrows to the right until the LED on the top row is lit on the MOD/PITCH section.  Now use the same arrows to cursor down once.  The light on the left should be on the second one down.  If you follow this visually to the right you will notice that the cross section of these lights gives you MOD/PITCH and underneath is type.  The display should have the corresponding value for the type.  Now use the Value arrows to modify the type of MOD/PITCH until the display reads Chor (for Chorus).  Now you can use the Parameter arrows again to cursor down once to access the level parameter.  Pressing the Parameter down again will give you the amount and so on."
RP6,,I don't understand the program matrix.  Can you explain it?,"The RP series can be confusing at first.  The first thing to grasp is the concept of what we call the program matrix.  To isolate a particular effect parameter or setting, you need to line up the top row and side column to display the current value.  For example, to isolate Chorus, start on the program you want to modify.  Press the Edit button.  Now press the parameter arrows to the right until the LED on the top row is lit on the MOD/PITCH section.  Now use the same arrows to cursor down once.  The light on the left should be on the second one down.  If you follow this visually to the right you will notice that the cross section of these lights gives you MOD/PITCH and underneath is type.  The display should have the corresponding value for the type.  Now use the Value arrows to modify the type of MOD/PITCH until the display reads Chor (for Chorus).  Now you can use the Parameter arrows again to cursor down once to access the level parameter.  Pressing the Parameter down again will give you the amount and so on."
RP7,,I can't edit the Speaker Cabinet emulator in any of my programs. It says '9LBL' on the display. Is my unit defective?,"When using the headphone output on the RP7, the speaker cabinet emulator is automatically activated. The '9LBL' stands for GLOBAL. If you unplug your headphones, you'll be able to edit this parameter."
RP7,,I don't understand the program matrix.  Can you explain it?,"The RP series can be confusing at first.  The first thing to grasp is the concept of what we call the program matrix.  To isolate a particular effect parameter or setting, you need to line up the top row and side column to display the current value.  For example, to isolate Chorus, start on the program you want to modify.  Press the Edit button.  Now press the parameter arrows to the right until the LED on the top row is lit on the MOD/PITCH section.  Now use the same arrows to cursor down once.  The light on the left should be on the second one down.  If you follow this visually to the right you will notice that the cross section of these lights gives you MOD/PITCH and underneath is type.  The display should have the corresponding value for the type.  Now use the Value arrows to modify the type of MOD/PITCH until the display reads Chor (for Chorus).  Now you can use the Parameter arrows again to cursor down once to access the level parameter.  Pressing the Parameter down again will give you the amount and so on."
StudioQuad/V2,,Can I upgrade a Studio Quad or Quad V2 to the Quad4 version?,The Quad4 features hardware improvements (new converters and larger delay RAM) which make the Quad4 software incompatible with the original Quad models.
StudioQuad/V2,,"How do I use one program for input one, and another program for input two?","The Studio Quad series products cannot use more than one program at a time. In order to have separate effects on each of the different input/outputs, you must create one program that has a multiple effect configuration, and assign the effects for the inputs/outputs that you want."
StudioQuad/V2,,How can I get several effects on each of the 4 inputs/outputs?,"The Studio Quad (and V2) can only run 4 effects at any given time. If you are using all four inputs to run discreet effects, you will only be able to have one effect on each input. If you are running 2 inputs, you can have 2 effects on each input, or three on one, and one on the other. The maximum number of effects in any program IS limited to 4."
StudioQuad/V2,,How do I create a program with all four input/outputs running different effects?,"You must first start with a program that has the configuration that you need for the effects capability, and routing. If you are wanting each input to have a different effect, then you want to start with a program using configuration #1. If you are using the Quad V2, you will find all possible configurations between factory programs 101 through 112. If you are using the regular Quad, you will have to scroll through the presets until you find a program using the configuration you need.<br><br>Once you have selected a program with the desired configuration, follow these steps to load the desired effect in to your program.<br><br>1. Press the ""FX edit"" button once. You will notice that the first ""box"" in the block diagram (lower right hand corner of the LCD) will start to flash. This is to indicate that you are about to edit that effect module.<br><br>2. Press the # 2 button to gain access to the type of effect that you want to load.<br><br>3. Roll the data wheel until you find the type of effect that you require for the first effect module.<br><br>4. You can now use the ""next"" and ""previous"" page buttons to find all of the parameters relating to the effect module you have selected. The 1-4 buttons will move the cursor back and forth from the parameters in the LCD.<br><br>5. Once you have the effect set up the way you want it, you can then press the ""FX edit"" button again which will start the second box of the block diagram flashing. This is indicating that you are about to edit the second module. Follow steps 2 though 4 to edit the second effect.<br><br>Each time you press the FX edit button, it will take you to the next effect in the block diagram, and you can follow steps 2 through 4 to set up the third and fourth effect.<br><br>Once you have all four effects set up the way you want them, press the store button 3 times to save these changes."
StudioQuad/V2,,How do I reset the Studio Quad to factory settings?,"To reset the Studio Quad (or V2), turn the power off, press and hold the #1 button while turning the power back on. After about 2 seconds, release the #1 button, and press the ""program"" button once. This will reset the entire unit."
StudioQuad/V2,,Someone told me there is an upgrade for my Studio Quad.  What new features are included in the V2 upgrade/model?,"Quad V2 Upgrade<br><br>Includes:<br>The V2 upgrade gives you 10 new effect modules (types of effects) Rotary Speaker Simulator, Smooth Pitch Shifter, Harmony, Analog Delay, Stereo Analog Delay, Chorus/Delay, Flange/Delay, Pre Delay, Room Echo, and Compressor.  There is also New and Improved I/O routing and 80 New Programs."
StudioQuad4,,Can I upgrade a Studio Quad or Quad V2 to the Quad4 version?,The Quad4 features hardware improvements (new converters and larger delay RAM) which make the Quad4 software incompatible with the original Quad models.
StudioQuad4,,How can I get several effects on each of the 4 inputs/outputs?,"The Studio Quad 4 can only run 4 effects at any given time. If you are using all four inputs to run discreet effects, you will only be able to have one effect on each input. If you are running 2 inputs, you can have 2 effects on each input, or three on one, and one on the other. The maximum number of effects in any program IS limited to 4."
StudioQuad4,,How do I create a program with all four input/outputs running different effects?,"You must first start with a program that has the configuration that you need for the effects capability, and routing. If you are wanting each input to have a different effect, then you want to start with a program using configuration #1. If you are using the Quad V2, you will find all possible configurations between factory programs 101 through 112. If you are using the regular Quad, you will have to scroll through the presets until you find a program using the configuration you need.<br><br>Once you have selected a program with the desired configuration, follow these steps to load the desired effect in to your program.<br><br>1. Press the ""FX edit"" button once. You will notice that the first ""box"" in the block diagram (lower right hand corner of the LCD) will start to flash. This is to indicate that you are about to edit that effect module.<br><br>2. Press the # 2 button to gain access to the type of effect that you want to load.<br><br>3. Roll the data wheel until you find the type of effect that you require for the first effect module.<br><br>4. You can now use the ""next"" and ""previous"" page buttons to find all of the parameters relating to the effect module you have selected. The 1-4 buttons will move the cursor back and forth from the parameters in the LCD.<br><br>5. Once you have the effect set up the way you want it, you can then press the ""FX edit"" button again which will start the second box of the block diagram flashing. This is indicating that you are about to edit the second module. Follow steps 2 though 4 to edit the second effect.<br><br>Each time you press the FX edit button, it will take you to the next effect in the block diagram, and you can follow steps 2 through 4 to set up the third and fourth effect.<br><br>Once you have all four effects set up the way you want them, press the store button 3 times to save these changes."
StudioQuad4,,How do I reset the Studio Quad 4 to factory settings?,"To reset the Studio Quad 4, turn the power off, press and hold the #1 button while turning the power back on. After about 2 seconds, release the #1 button, and press the ""program"" button once. This will reset the entire unit."
StudioVocalistEX,,I have the original Studio Vocalist. How can I upgrade it to the EX version?,This upgrade is a paid one.  This is not a user installable version upgrade.  This must be performed by our service department.  The fee is $75.00.  The upgrade is limited to stock on hand.  There are only a few left.  Call for availability:<br><br>Digitech Repair<br>(801) 566-8800<br>
